name,id,teams,grpid
D.Heyward-Bey,00-0026983,LV (2009-2010),darrius-heyward-bey-wr
D.Heyward-Bey,32013030-2d30-3032-3639-383382f26efa,"IND (2013-2013),LV (2012-2012),PIT (2016-2018)",darrius-heyward-bey-wr
D.Jackson,00-0019663,SEA (2000-2005),darrell-jackson-wr
D.Jackson,00-0026189,PHI (2008-2010),desean-jackson-wr
D.Jackson,32013030-2d30-3032-3631-383993ac1996,"PHI (2011-2013),TB (2017-2018),WAS (2014-2014)",desean-jackson-wr
D.Jackson,32013030-2d30-3033-3236-33361849cf2a,GB (2016-2016),don-jackson-rb
D.Jackson,32013030-2d30-3033-3330-3439ccd92aa2,DAL (2018-2018),darius-jackson-rb
D.Johnson,00-0008484,"ARI (2008-2008),PHI (2006-2006),TB (2009-2009)",dirk-johnson-p
D.Johnson,00-0019087,"ATL (2000-2003),TEN (2004-2004)",doug-johnson-qb
D.Johnson,32013030-2d30-3032-3639-35377776054a,LAC (2015-2015),david-johnson-te
D.Johnson,32013030-2d30-3032-3934-33356e786479,"HOU (2014-2014),NE (2015-2015),PHI (2012-2012)",damaris-johnson-wr
D.Johnson,32013030-2d30-3033-3032-333642fc65be,HOU (2013-2013),dennis-johnson-rb
D.Johnson,32013030-2d30-3033-3231-3837af32a123,ARI (2015-2019),david-johnson-rb
D.Johnson,32013030-2d30-3033-3232-3537f7a6ee8b,"CLE (2015-2018),HOU (2019-2019)",duke-johnson-rb
D.Johnson,32013030-2d30-3033-3532-313684e90af8,PIT (2019-2019),diontae-johnson-wr
D.Johnson,32013030-2d30-3033-3536-323815aa4463,CLE (2019-2019),dernest-johnson-rb
D.Jones,00-0022684,"LA (2008-2008),MIA (2005-2006)",donnie-jones-p
D.Jones,00-0027518,BUF (2010-2010),donald-jones-wr
D.Jones,32013030-2d30-3032-3236-3834f2047ed5,PHI (2016-2016),donnie-jones-p
D.Jones,32013030-2d30-3032-3735-313841a3803b,BUF (2011-2011),donald-jones-wr
D.Jones,32013030-2d30-3033-3537-31306de02154,NYG (2019-2019),daniel-jones-qb
D.Karim,00-0027779,JAX (2010-2010),deji-karim-rb
D.Karim,32013030-2d30-3032-3737-37393170c991,"HOU (2013-2013),JAX (2011-2011)",deji-karim-rb
D.McCluster,00-0027651,KC (2010-2010),dexter-mccluster-wr
D.McCluster,32013030-2d30-3032-3736-35318c25fb71,"KC (2011-2013),LAC (2016-2016),TEN (2014-2015)",dexter-mccluster-wr
D.McFadden,00-0026144,LV (2008-2010),darren-mcfadden-wr
D.McFadden,32013030-2d30-3032-3631-3434b1da4c3a,"DAL (2015-2017),LV (2011-2014)",darren-mcfadden-wr
D.McNabb,00-0011022,"PHI (1999-2009),WAS (2000-2010)",donovan-mcnabb-qb
D.McNabb,32013030-2d30-3031-3130-3232b50875be,MIN (2011-2011),donovan-mcnabb-qb
D.Moore,00-0026620,IND (2010-2010),devin-moore-rb
D.Moore,32013030-2d30-3032-3830-3836831cf024,LV (2011-2014),denarius-moore-wr
D.Moore,32013030-2d30-3033-3335-3839c5d25ee7,SEA (2018-2019),david-moore-wr
D.Moore,32013030-2d30-3033-3438-3237a7c47510,CAR (2018-2019),dj-moore-wr
D.Orlovsky,00-0023578,DET (2005-2008),dan-orlovsky-qb
D.Orlovsky,32013030-2d30-3032-3335-3738d469dbc2,"DET (2015-2015),IND (2011-2011),TB (2012-2012)",dan-orlovsky-qb
D.Reed,00-0027755,BAL (2010-2010),david-reed-wr
D.Reed,32013030-2d30-3032-3737-3535d1520901,BAL (2011-2011),david-reed-wr
D.Scott,00-0014544,DAL (2002-2002),darnay-scott-wr
D.Scott,32013030-2d30-3032-3831-3539a06c11fb,NYG (2011-2013),darel-scott-rb
D.Scott,32013030-2d30-3033-3432-3536c2b7aaa5,NYG (2019-2019),damari-scott-wr
D.Sepulveda,00-0025499,PIT (2007-2007),daniel-sepulveda-p
D.Sepulveda,32013030-2d30-3032-3534-393976400607,PIT (2011-2011),daniel-sepulveda-p
D.Sproles,00-0023564,LAC (2005-2010),darren-sproles-rb
D.Sproles,32013030-2d30-3032-3335-3634a4a97bd6,"NO (2011-2013),PHI (2014-2019)",darren-sproles-rb
D.Stallworth,00-0021147,"BAL (2010-2010),CLE (2008-2008),NE (2007-2007),NO (2002-2005)",donte-stallworth-wr
D.Stallworth,32013030-2d30-3032-3131-3437688e4839,WAS (2011-2011),donte-stallworth-wr
D.Stanton,00-0025430,DET (2008-2010),drew-stanton-qb
D.Stanton,32013030-2d30-3032-3534-3330104af661,ARI (2014-2017),drew-stanton-qb
D.Thomas,00-0024301,NO (2009-2009),david-thomas-te
D.Thomas,00-0026174,WAS (2008-2009),devin-thomas-wr
D.Thomas,00-0027874,DEN (2010-2010),demaryius-thomas-wr
